step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,altitude,vertical_vel,g_raw_x,g_raw_y,g_raw_z,g_raw_mag,g_eff_x,g_eff_y,g_eff_z,g_eff_mag,c,k,phi,phase_error,lock_quality,omega_drive,omega_0,drive_power,energy,grav_power
230,2.3,0,0,6371992.635900342,0,0,-6.409161346386142,992.6359003419057,-6.409161346386142,0,0,-9.816913934900152,9.816913934900152,0,0,-3.434827249466591,3.434827249466591,0.3498886994674999,0.07743581866628363,1.372237945790225,-1.769354707799568,0.6601955891777431,78,80.57749999999947,928.9949030753281,1697639.023721383,26417.23444655413
240,2.4,0,0,6371991.975785203,0,0,-6.760250965393483,991.9757852032781,-6.760250965393483,0,0,-9.816915958075207,9.816915958075207,0,0,-3.570209652329563,3.570209652329563,0.3636793538395098,0.09357044093259394,1.263194002334506,-1.878398651255287,0.6548736972119173,78,80.60249999999945,1038.406408276162,1697540.19741656,28962.61589858167
250,2.5,0,0,6371991.279860914,0,0,-7.123759126886819,991.2798609137535,-7.123759126886819,0,0,-9.816918091205954,9.816918091205954,0,0,-3.684913873607336,3.684913873607336,0.3753636160933542,0.1118247947225891,1.220779462882056,-1.920813190707737,0.649543957859169,78,80.62749999999943,1158.820531541831,1697429.82449875,31500.52660668254
260,2.6,0,0,6371990.547003032,0,0,-7.49753274783456,990.5470030317083,-7.49753274783456,0,0,-9.816920337823561,9.816920337823561,0,0,-3.777636144715403,3.777636144715403,0.3848086787625818,0.1305759436443993,1.21861779241327,-1.922974861176524,0.6442072643366414,78,80.65249999999941,1290.101895287705,1697306.810593015,33987.54084528868
270,2.7,0,0,6371989.776306068,0,0,-7.87937587321507,989.7763060675934,-7.87937587321507,0,0,-9.816922700785867,9.816922700785867,0,0,-3.848638888780703,3.848638888780703,0.3920412746524541,0.1488720780575597,1.239836565264691,-1.901756088325103,0.638864504180635,78,80.67749999999938,1431.94624547291,1697170.084497957,36389.84688597112
280,2.8,0,0,6371988.967079573,0,0,-8.267195708264296,988.9670795733109,-8.267195708264296,0,0,-9.81692518228494,9.81692518228494,0,0,-3.89954715603912,3.89954715603912,0.3972269405776891,0.1661183237296805,1.274341944455321,-1.867250709134472,0.6335165590170806,78,80.70249999999936,1583.929290417607,1697018.612493434,38685.98341509703
290,2.9,0,0,6371988.118830882,0,0,-8.659124620966299,988.1188308820128,-8.659124620966299,0,0,-9.81692778389651,9.81692778389651,0,0,-3.933081371739704,3.933081371739704,0.4006427935826778,0.1819250697277789,1.315970069322957,-1.825622584266836,0.6281643043362095,78,80.72749999999934,1745.56607786185,1696851.407144635,40868.45009075421
300,3,0,0,6371987.231237244,0,0,-9.053612927574864,987.231237243861,-9.053612927574864,0,0,-9.816930506662949,9.816930506662949,0,0,-3.952748186512007,3.952748186512007,0.4026460392919352,0.1960403338875722,1.360774466456354,-1.780818187133439,0.6228086092714857,78,80.75249999999932,1916.375436209749,1696667.529840596,42943.98249702385
310,3.1,0,0,6371986.304110415,0,0,-9.44948953621634,986.3041104152799,-9.44948953621634,0,0,-9.816933351200527,9.816933351200527,0,0,-3.962512502002125,3.962512502002125,0.4036405627137668,0.2083200387282322,1.406083449927456,-1.735509203662337,0.6174503363828698,78,80.77749999999929,2095.943299248772,1696466.086898268,44932.46450975462
320,3.2,0,0,6371985.337357006,0,0,-9.845989829087193,985.3373570060357,-9.845989829087191,0,0,-9.816936317820716,9.816936317820716,0,0,-3.966473480775209,3.966473480775209,0.4040439249437584,0.2187147593069099,1.449983626151256,-1.691609027438537,0.6120903414444794,78,80.80249999999927,2283.978859568603,1696246.219681239,46864.62905886814
330,3.3,0,0,6371984.330937764,0,0,-10.24275235994098,984.330937763676,-10.24275235994098,0,0,-9.816939406655779,9.816939406655779,0,0,-3.968565594700806,3.968565594700806,0.4042569104592987,0.2272630500343881,1.491035173957426,-1.650557479632367,0.6067294732367076,78,80.82749999999925,2480.358398052058,1696007.089743853,48778.84153284274
340,3.4,0,0,6371983.28482875,0,0,-10.63978788929674,983.2848287504166,-10.63978788929674,0,0,-9.816942617779306,9.816942617779306,0,0,-3.972302679462896,3.972302679462896,0.4046374552774428,0.2340864916919264,1.528118513332533,-1.61347414025726,0.6013685733428568,78,80.85249999999922,2685.153127535169,1695747.860448638,50717.34952988435
350,3.5,0,0,6371982.198986909,0,0,-11.03742585507152,982.1989869093522,-11.03742585507152,0,0,-9.816945951314002,9.816945951314002,0,0,-3.980578796482512,3.980578796482512,0.4054803618379614,0.2393837871310599,1.560360950935102,-1.581231702654691,0.5960084759503457,78,80.8774999999992,2898.639216230398,1695467.676772236,52722.41199173465
360,3.6,0,0,6371981.073321929,0,0,-11.43624449062228,981.0733219292015,-11.43624449062228,0,0,-9.816949407520514,9.816949407520514,0,0,-3.995534784331674,3.995534784331674,0.4070037053741763,0.2434221798216979,1.587115946917996,-1.554476706671797,0.5906500076565405,78,80.90249999999918,3121.290047665945,1695165.645093968,54832.69519728333
370,3.7,0,0,6371979.907675682,0,0,-11.83699140064954,979.9076756816357,-11.83699140064954,0,0,-9.816952986863233,9.816952986863233,0,0,-4.018494087204527,4.018494087204527,0.4093422972058602,0.2465249090082299,1.607978171963498,-1.533614481626295,0.5852939872792605,78,80.92749999999916,3353.752494145981,1694840.814658609,57080.25594456123
380,3.8,0,0,6371978.701809806,0,0,-12.24050147246348,978.7018098058179,-12.24050147246348,0,0,-9.816956690051098,9.816956690051098,0,0,-4.049966177858174,4.049966177858174,0.412548033543081,0.2490537714390146,1.622820068810516,-1.518772584779277,0.5799412256720061,78,80.95249999999913,3596.810357637845,1694492.162148208,59488.34035620034
390,3.9,0,0,6371977.455401347,0,0,-12.64761855987685,977.4554013470188,-12.64761855987685,0,0,-9.816960518053437,9.816960518053437,0,0,-4.089711037525667,4.089711037525667,0.41659646384486,0.251386450690655,1.631833383275925,-1.509759270313868,0.57459252554395,78,80.97749999999911,3851.339070652856,1694118.580426935,62070.12626729141
400,4,0,0,6371976.168045746,0,0,-13.05912649076459,976.1680457461625,-13.05912649076459,0,0,-9.816964472092877,9.816964472092877,0,0,-4.136854066982912,4.136854066982912,0.4213984963216412,0.253889326073924,1.635555277836427,-1.506037375753366,0.5692486812847365,78,81.00249999999909,4118.256223499938,1693718.872083831,64828.44064147653
410,4.1,0,0,6371974.839266015,0,0,-13.47569371005835,974.8392660152167,-13.47569371005835,0,0,-9.816968553618798,9.816968553618798,0,0,-4.190037765301894,4.190037765301894,0.4268158487435852,0.2568879914545307,1.634857497489344,-1.506735156100449,0.5639104787941224,78,81.02749999999907,4398.472518487448,1693291.747936393,67756.3986705428
420,4.2,0,0,6371973.468526558,0,0,-13.8978343941872,973.4685265580192,-13.8978343941872,0,0,-9.816972764265916,9.816972764265916,0,0,-4.247594719975629,4.247594719975629,0.4326786700923736,0.260639328129903,1.630883168221626,-1.510709485368167,0.5585786953164981,78,81.05249999999904,4692.847401402985,1692835.830214238,70838.84159021429
430,4.3,0,0,6371972.055249911,0,0,-14.3258872910151,972.0552499108016,-14.3258872910151,0,0,-9.816977105803392,9.816977105803392,0,0,-4.307725993014768,4.307725993014768,0.4388037118338819,0.2653099351790145,1.624930835306712,-1.516661818283081,0.5532540992803175,78,81.07749999999902,5002.152955859487,1692349.659751293,74054.39646780682
440,4.4,0,0,6371970.598834622,0,0,-14.76001198421116,970.59883462172,-14.76001198421116,0,0,-9.816981580079819,9.816981580079819,0,0,-4.368669839588834,4.368669839588834,0.4450115143796891,0.2709652505723813,1.618304868544282,-1.523287785045511,0.5479374501424686,78,81.102499999999,5327.048736252601,1691831.706204768,77377.94302487164
450,4.5,0,0,6371969.098672638,0,0,-15.20020087747271,969.0986726377159,-15.20020087747271,0,0,-9.816986188969302,9.816986188969302,0,0,-4.428847727717919,4.428847727717919,0.4511412812920448,0.2775715954988741,1.612165721404283,-1.52942693218551,0.5426294982376076,78,81.12749999999897,5668.069135271446,1691280.380109824,80783.25014046111
460,4.600000000000001,0,0,6371967.554164738,0,0,-15.64630404833304,967.5541647383943,-15.64630404833304,0,0,-9.816990934323121,9.816990934323121,0,0,-4.48697761251617,4.48697761251617,0.4570624178564087,0.285010359043486,1.607414266920036,-1.534178386669757,0.5373309846324822,78,81.15249999999895,6025.623709272021,1690694.045483379,84245.53918018976
470,4.7,0,0,6371965.96473296,0,0,-16.09806331266342,965.9647329598665,-16.09806331266342,0,0,-9.816995817930414,9.816995817930414,0,0,-4.542148055111715,4.542148055111715,0.4626820810920215,0.2931008916811138,1.604631206066332,-1.536961447523461,0.5320426409852621,78,81.17749999999893,6400.009702724849,1690071.031713438,87743.74436001528
480,4.8,0,0,6371964.32982929,0,0,-16.55515141569653,964.3298292895779,-16.55515141569653,0,0,-9.817000841490177,9.817000841490177,0,0,-4.593850716573903,4.593850716573903,0.4679484896404039,0.3016274068668947,1.604073453169248,-1.537519200420545,0.5267651894098958,78,81.20249999999891,6500,1689421.878624836,91262.27303278437
490,4.9,0,0,6371962.648940399,0,0,-17.01720857568669,962.6489403992891,-17.01720857568669,0,0,-9.817006006595539,9.817006006595539,0,0,-4.641682057118289,4.641682057118289,0.4728205375447242,0.3103425451139021,1.605899924960837,-1.535692728628956,0.5214993423455052,78,81.22749999999888,6500,1688771.878624836,94786.16604960529
500,5,0,0,6371960.921604229,0,0,-17.48346557844025,960.9216042291373,-17.48346557844025,0,0,-9.817011314694291,9.817011314694291,0,0,-4.677434246107546,4.677434246107546,0.4764621427201854,0.3181354311884387,1.615210762369119,-1.526381891220674,0.5162458024308322,78,81.25249999999886,6500,1688121.878624836,98133.31276468669
510,5.100000000000001,0,0,6371959.147475496,0,0,-17.95257341026204,959.1474754959345,-17.95257341026204,0,0,-9.817016766892273,9.817016766892273,0,0,-4.700747070264994,4.700747070264994,0.4788366142062818,0.3239806958814175,1.632192578519732,-1.509400075070061,0.5110052623837437,78,81.27749999999884,6500,1687471.878624836,101268.6082344078
520,5.2,0,0,6371957.326326565,0,0,-18.42356358087857,957.3263265648857,-18.42356358087857,0,0,-9.817022363921103,9.817022363921103,0,0,-4.716668425147838,4.716668425147838,0.4804581522073575,0.3274455150184845,1.65399740109357,-1.487595252496223,0.5057784048858014,78,81.30249999999882,6500,1686821.878624836,104277.4087447603
530,5.3,0,0,6371955.457998655,0,0,-18.89597592700525,955.4579986548051,-18.89597592700525,0,0,-9.817028106284591,9.817028106284591,0,0,-4.730226639841183,4.730226639841183,0.481838962731809,0.3283858538976042,1.67804198774914,-1.463550665840653,0.5005659024718994,78,81.32749999999879,6500,1686171.878624836,107258.6984588615
540,5.4,0,0,6371953.542352283,0,0,-19.3698276736245,953.5423522833735,-19.3698276736245,0,0,-9.817033994412375,9.817033994412375,0,0,-4.745918599321333,4.745918599321333,0.4834371157339985,0.3268998778973849,1.702054755395539,-1.439537898194254,0.4953684174249693,78,81.35249999999877,6500,1685521.878624836,110313.1505062843
550,5.5,0,0,6371951.57922339,0,0,-19.84553757201211,951.5792233897373,-19.84553757201211,0,0,-9.817040028797477,9.817040028797477,0,0,-4.767317054126562,4.767317054126562,0.4856165443088784,0.3232828605748502,1.72408743914195,-1.417505214447843,0.4901866016757503,78,81.37749999999875,6500,1684871.878624836,113531.9636584354
560,5.600000000000001,0,0,6371949.56838887,0,0,-20.32381864230614,949.5683888699859,-20.32381864230614,0,0,-9.817046210105786,9.817046210105786,0,0,-4.796823767252993,4.796823767252993,0.4886218995602858,0.3179825889942611,1.742535370041856,-1.399057283547937,0.4850210967076181,78,81.40249999999872,6500,1684221.878624836,116987.7315657043
570,5.7,0,0,6371947.509543882,0,0,-20.80555474404079,947.5095438817516,-20.80555474404079,0,0,-9.817052539249799,9.817052539249799,0,0,-4.835577470607764,4.835577470607764,0.4925691750425623,0.311552704939583,1.756185966714225,-1.385406686875568,0.4798725334664655,78,81.4274999999987,6500,1683571.878624836,120728.2461405361
580,5.8,0,0,6371945.40229165,0,0,-21.29167614332019,945.4022916499525,-21.29167614332019,0,0,-9.817059017423889,9.817059017423889,0,0,-4.883508523051773,4.883508523051773,0.4974512748048308,0.3046014681819135,1.76429655782629,-1.377296095763503,0.4747415322756237,78,81.45249999999868,6500,1682921.878624836,124773.6982991547
