step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,altitude,vertical_vel,g_raw_x,g_raw_y,g_raw_z,g_raw_mag,g_eff_x,g_eff_y,g_eff_z,g_eff_mag,c,k,phi,phase_error,lock_quality,omega_drive,omega_0,drive_power,energy,grav_power
95,1.9,0,0,6371981.717003889,0,0,-18.84846724664678,981.7170038893819,-18.84846724664678,0,0,-9.816946614985593,9.816946614985593,0,0,-9.816946614985593,9.816946614985593,1,0,0,0,0,80,80,0,0,222041.2760815632
100,2,0,0,6371979.773255469,0,0,-19.83016226145028,979.7732554692775,-19.83016226145028,0,0,-9.816952543733601,9.816952543733601,0,0,-9.816952543733601,9.816952543733601,1,0,0,0,0,80,80,0,0,233606.1142262332
105,2.1,0,0,6371977.731337511,0,0,-20.81185788727821,977.7313375109807,-20.81185788727821,0,0,-9.816958774975831,9.816958774975831,0,0,-9.816958774975831,9.816958774975831,1,0,0,0,0,80,80,0,0,245170.9810920789
110,2.2,0,0,6371975.591249952,0,0,-21.79355415438008,975.5912499520928,-21.79355415438007,0,0,-9.816965308713334,9.816965308713334,0,0,-9.816965308713334,9.816965308713334,1,0,0,0,0,80,80,0,0,256735.8781045375
115,2.3,0,0,6371973.352992725,0,0,-22.77525109300547,973.3529927246273,-22.77525109300547,0,0,-9.816972144947226,9.816972144947226,0,0,-9.816972144947226,9.816972144947226,1,0,0,0,0,80,80,0,0,268300.8066890563
120,2.4,0,0,6371971.016565762,0,0,-23.7569487334041,971.0165657624602,-23.7569487334041,0,0,-9.816979283678652,9.816979283678652,0,0,-9.816979283678652,9.816979283678652,1,0,0,0,0,80,80,0,0,279865.7682710926
125,2.5,0,0,6371968.581968993,0,0,-24.73864710582578,968.5819689929485,-24.73864710582578,0,0,-9.816986724908832,9.816986724908832,0,0,-9.816986724908832,9.816986724908832,1,0,0,0,0,80,80,0,0,291430.7642761152
130,2.6,0,0,6371966.04920234,0,0,-25.72034624052047,966.0492023397237,-25.72034624052047,0,0,-9.81699446863902,9.81699446863902,0,0,-9.81699446863902,9.81699446863902,1,0,0,0,0,80,80,0,0,302995.7961296039
135,2.7,0,0,6371963.418265726,0,0,-26.70204616773826,963.4182657264173,-26.70204616773826,0,0,-9.817002514870534,9.817002514870534,0,0,-9.817002514870534,9.817002514870534,1,0,0,0,0,80,80,0,0,314560.8652570507
140,2.8,0,0,6371960.689159072,0,0,-27.68374691772933,960.6891590720043,-27.68374691772933,0,0,-9.817010863604734,9.817010863604734,0,0,-9.817010863604734,9.817010863604734,1,0,0,0,0,80,80,0,0,326125.9730839595
145,2.9,0,0,6371957.86188229,0,0,-28.66544852074406,957.8618822898716,-28.66544852074406,0,0,-9.817019514843038,9.817019514843038,0,0,-9.817019514843038,9.817019514843038,1,0,0,0,0,80,80,0,0,337691.1210358476
150,3,0,0,6371954.936435296,0,0,-29.64715100703295,954.9364352962002,-29.64715100703295,0,0,-9.81702846858691,9.81702846858691,0,0,-9.81702846858691,9.81702846858691,1,0,0,0,0,80,80,0,0,349256.3105382451
155,3.1,0,0,6371951.912817999,0,0,-30.62885440684664,951.9128179987893,-30.62885440684664,0,0,-9.817037724837869,9.817037724837869,0,0,-9.817037724837869,9.817037724837869,1,0,0,0,0,80,80,0,0,360821.5430166961
160,3.2,0,0,6371948.791030305,0,0,-31.61055875043592,948.7910303045064,-31.61055875043592,0,0,-9.817047283597482,9.817047283597482,0,0,-9.817047283597482,9.817047283597482,1,0,0,0,0,80,80,0,0,372386.8198967587
165,3.3,0,0,6371945.571072119,0,0,-32.59226406805177,945.5710721192881,-32.59226406805177,0,0,-9.817057144867368,9.817057144867368,0,0,-9.817057144867368,9.817057144867368,1,0,0,0,0,80,80,0,0,383952.1426040059
170,3.4,0,0,6371942.252943342,0,0,-33.57397038994532,942.2529433416203,-33.57397038994532,0,0,-9.817067308649197,9.817067308649197,0,0,-9.817067308649197,9.817067308649197,1,0,0,0,0,80,80,0,0,395517.5125640259
175,3.5,0,0,6371938.836643871,0,0,-34.55567774636786,938.8366438709199,-34.55567774636786,0,0,-9.817077774944696,9.817077774944696,0,0,-9.817077774944696,9.817077774944696,1,0,0,0,0,80,80,0,0,407082.9312024227
180,3.6,0,0,6371935.3221736,0,0,-35.53738616757085,935.3221736000851,-35.53738616757084,0,0,-9.817088543755638,9.817088543755638,0,0,-9.817088543755638,9.817088543755638,1,0,0,0,0,80,80,0,0,418648.3999448159
185,3.7,0,0,6371931.709532421,0,0,-36.51909568380596,931.7095324210823,-36.51909568380596,0,0,-9.817099615083848,9.817099615083848,0,0,-9.817099615083848,9.817099615083848,1,0,0,0,0,80,80,0,0,430213.920216842
190,3.8,0,0,6371927.998720223,0,0,-37.50080632532502,927.9987202230841,-37.50080632532502,0,0,-9.8171109889312,9.8171109889312,0,0,-9.8171109889312,9.8171109889312,1,0,0,0,0,80,80,0,0,441779.4934441547
195,3.9,0,0,6371924.189736892,0,0,-38.48251812238009,924.1897368915379,-38.48251812238009,0,0,-9.81712266529963,9.81712266529963,0,0,-9.81712266529963,9.81712266529963,1,0,0,0,0,80,80,0,0,453345.1210524256
200,4,0,0,6371920.28258231,0,0,-39.46423110522335,920.2825823100284,-39.46423110522335,0,0,-9.817134644191107,9.817134644191107,0,0,-9.817134644191107,9.817134644191107,1,0,0,0,0,80,80,0,0,464910.8044673429
205,4.1,0,0,6371916.277256357,0,0,-40.44594530410724,916.2772563574836,-40.44594530410724,0,0,-9.817146925607661,9.817146925607661,0,0,-9.817146925607661,9.817146925607661,1,0,0,0,0,80,80,0,0,476476.5451146144
210,4.2,0,0,6371912.173758911,0,0,-41.42766074928441,912.1737589109689,-41.42766074928441,0,0,-9.817159509551379,9.817159509551379,0,0,-9.817159509551379,9.817159509551379,1,0,0,0,0,80,80,0,0,488042.344419967
215,4.3,0,0,6371907.972089844,0,0,-42.40937747100768,907.9720898438245,-42.40937747100767,0,0,-9.817172396024391,9.817172396024391,0,0,-9.817172396024391,9.817172396024391,1,0,0,0,0,80,80,0,0,499608.2038091464
220,4.4,0,0,6371903.672249026,0,0,-43.39109549953013,903.6722490256652,-43.39109549953013,0,0,-9.817185585028879,9.817185585028879,0,0,-9.817185585028879,9.817185585028879,1,0,0,0,0,80,80,0,0,511174.1247079184
225,4.5,0,0,6371899.274236325,0,0,-44.37281486510503,899.2742363251746,-44.37281486510503,0,0,-9.817199076567087,9.817199076567087,0,0,-9.817199076567087,9.817199076567087,1,0,0,0,0,80,80,0,0,522740.1085420697
230,4.600000000000001,0,0,6371894.778051605,0,0,-45.35453559798589,894.7780516054481,-45.35453559798589,0,0,-9.817212870641288,9.817212870641288,0,0,-9.817212870641288,9.817212870641288,1,0,0,0,0,80,80,0,0,534306.1567374066
235,4.7,0,0,6371890.183694729,0,0,-46.33625772842645,890.1836947286502,-46.33625772842645,0,0,-9.817226967253834,9.817226967253834,0,0,-9.817226967253834,9.817226967253834,1,0,0,0,0,80,80,0,0,545872.2707197585
240,4.8,0,0,6371885.491165553,0,0,-47.31798128668069,885.4911655532196,-47.31798128668069,0,0,-9.817241366407108,9.817241366407108,0,0,-9.817241366407108,9.817241366407108,1,0,0,0,0,80,80,0,0,557438.451914975
245,4.9,0,0,6371880.700463935,0,0,-48.29970630300284,880.7004639348015,-48.29970630300284,0,0,-9.81725606810355,9.81725606810355,0,0,-9.81725606810355,9.81725606810355,1,0,0,0,0,80,80,0,0,569004.7017489288
250,5,0,0,6371875.811589726,0,0,-49.28143280764735,875.8115897262469,-49.28143280764735,0,0,-9.817271072345649,9.817271072345649,0,0,-9.817271072345649,9.817271072345649,1,0,0,0,0,80,80,0,0,580571.0216475145
255,5.100000000000001,0,0,6371870.824542777,0,0,-50.26316083086893,870.8245427766815,-50.26316083086893,0,0,-9.81728637913595,9.81728637913595,0,0,-9.81728637913595,9.81728637913595,1,0,0,0,0,80,80,0,0,592137.413036651
260,5.2,0,0,6371865.739322931,0,0,-51.24489040292259,865.7393229305744,-51.24489040292258,0,0,-9.817301988477052,9.817301988477052,0,0,-9.817301988477052,9.817301988477052,1,0,0,0,0,80,80,0,0,603703.8773422806
265,5.3,0,0,6371860.555930034,0,0,-52.22662155406352,860.5559300342575,-52.22662155406352,0,0,-9.817317900371592,9.817317900371592,0,0,-9.817317900371592,9.817317900371592,1,0,0,0,0,80,80,0,0,615270.4159903687
270,5.4,0,0,6371855.274363927,0,0,-53.20835431454726,855.2743639266118,-53.20835431454726,0,0,-9.817334114822273,9.817334114822273,0,0,-9.817334114822273,9.817334114822273,1,0,0,0,0,80,80,0,0,626837.0304069069
275,5.5,0,0,6371849.894624445,0,0,-54.19008871462958,849.8946244446561,-54.19008871462957,0,0,-9.81735063183184,9.81735063183184,0,0,-9.81735063183184,9.81735063183184,1,0,0,0,0,80,80,0,0,638403.7220179106
280,5.600000000000001,0,0,6371844.416711423,0,0,-55.17182478456653,844.4167114226148,-55.17182478456653,0,0,-9.817367451403094,9.817367451403094,0,0,-9.817367451403094,9.817367451403094,1,0,0,0,0,80,80,0,0,649970.4922494217
285,5.7,0,0,6371838.840624692,0,0,-56.15356255461446,838.8406246919185,-56.15356255461446,0,0,-9.817384573538884,9.817384573538884,0,0,-9.817384573538884,9.817384573538884,1,0,0,0,0,80,80,0,0,661537.3425275073
290,5.8,0,0,6371833.16636408,0,0,-57.13530205502999,833.1663640802726,-57.13530205502999,0,0,-9.81740199824212,9.81740199824212,0,0,-9.81740199824212,9.81740199824212,1,0,0,0,0,80,80,0,0,673104.2742782622
295,5.9,0,0,6371827.393929414,0,0,-58.11704331607005,827.3939294135198,-58.11704331607005,0,0,-9.817419725515743,9.817419725515743,0,0,-9.817419725515743,9.817419725515743,1,0,0,0,0,80,80,0,0,684671.2889278067
300,6,0,0,6371821.523320514,0,0,-59.09878636799185,821.5233205137774,-59.09878636799185,0,0,-9.817437755362768,9.817437755362768,0,0,-9.817437755362768,9.817437755362768,1,0,0,0,0,80,80,0,0,696238.38790229
305,6.100000000000001,0,0,6371815.554537199,0,0,-60.08053124105292,815.5545371994376,-60.08053124105292,0,0,-9.817456087786242,9.817456087786242,0,0,-9.817456087786242,9.817456087786242,1,0,0,0,0,80,80,0,0,707805.5726278878
310,6.2,0,0,6371809.487579288,0,0,-61.06227796551108,809.4875792879611,-61.06227796551108,0,0,-9.817474722789278,9.817474722789278,0,0,-9.817474722789278,9.817474722789278,1,0,0,0,0,80,80,0,0,719372.8445308052
