step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,altitude,vertical_vel,g_raw_x,g_raw_y,g_raw_z,g_raw_mag,g_eff_x,g_eff_y,g_eff_z,g_eff_mag,c,k,phi,phase_error,lock_quality,omega_drive,omega_0,drive_power,energy,grav_power
100,1,0,0,6371998.958976746,0,0,-1.921138747351966,998.9589767456055,-1.921138747351966,0,0,-9.816894590113252,9.816894590113252,0,0,-1.130285479662401,1.130285479662401,0.1151367644102779,0.2232169624789638,2.226995652136811,-0.9145970014529823,0.7788007830714049,75,80,6500,1693945.46108813,2605.72227665849
110,1.1,0,0,6371998.760216345,0,0,-2.045451449360332,998.7602163450792,-2.045451449360332,0,0,-9.816895198715466,9.816895198715466,0,0,-1.353954800802887,1.353954800802887,0.137920877568302,0.1757421450801993,2.224910884814319,-0.916681768775474,0.7788007830714049,75,80,6500,1693295.46108813,3323.338571604773
120,1.2,0,0,6371998.547573663,0,0,-2.197303788941339,998.5475736632943,-2.197303788941339,0,0,-9.816895849244101,9.816895849244101,0,0,-1.658947514551818,1.658947514551818,0.168989010378424,0.1394477966953343,2.072303744681362,-1.069288908908431,0.7788007830714049,75,80,6500,1692645.46108813,4374.253991255433
130,1.3,0,0,6371998.318033918,0,0,-2.380180055169111,998.318033917807,-2.380180055169111,0,0,-9.816896550881145,9.816896550881145,0,0,-1.961490365213857,1.961490365213857,0.1998075822687362,0.1289314452320578,1.785480453921148,-1.356112199668645,0.7788007830714049,75,80,6500,1691995.46108813,5602.440294826077
140,1.4,0,0,6371998.068672225,0,0,-2.589822922576351,998.0686722248793,-2.589822922576351,0,0,-9.816897312770129,9.816897312770129,0,0,-2.192020891376331,2.192020891376331,0.2232906000274528,0.1463218214725399,1.552442674557573,-1.58914997903222,0.7788007830714049,75,80,6500,1691345.46108813,6812.335141503201
150,1.5,0,0,6371997.797315328,0,0,-2.816478824511737,997.797315328382,-2.816478824511737,0,0,-9.81689814190797,9.81689814190797,0,0,-2.308958859898254,2.308958859898254,0.2352024872338642,0.1767607687556694,1.468897532775485,-1.672695120814308,0.7788007830714049,75,80,6500,1690695.46108813,7803.760482686635
160,1.6,0,0,6371997.502921731,0,0,-3.048048597156777,997.5029217312112,-3.048048597156777,0,0,-9.816899041876635,9.816899041876635,0,0,-2.303763977369264,2.303763977369264,0.2346732881271302,0.2070016369033174,1.487119422264733,-1.65447323132506,0.7788007830714049,75,80,6500,1690045.46108813,8426.381471280842
170,1.7,0,0,6371997.185638208,0,0,-3.273267380996393,997.1856382079422,-3.273267380996393,0,0,-9.816900012570999,9.816900012570999,0,0,-2.197529526630005,2.197529526630005,0.2238516765797722,0.2304407884141954,1.556016175947879,-1.585576477641914,0.7788007830714049,75,80,6500,1689395.46108813,8631.722061953329
180,1.8,0,0,6371996.846572327,0,0,-3.484173678516597,996.8465723274276,-3.484173678516597,0,0,-9.816901050823695,9.816901050823695,0,0,-2.031278189181096,2.031278189181096,0.2069164371388525,0.2443911829894294,1.645908317435543,-1.49568433615425,0.7788007830714049,75,80,6500,1688745.46108813,8492.791200587561
190,1.9,0,0,6371996.487379842,0,0,-3.677412387268387,996.4873798415065,-3.677412387268386,0,0,-9.816902151636327,9.816902151636327,0,0,-1.853229828961088,1.853229828961088,0.1887794948279262,0.2483455131786369,1.739211636793799,-1.402381016795994,0.7788007830714049,75,80,6500,1688095.46108813,8178.108395372134
200,2,0,0,6371996.109792524,0,0,-3.854260400613978,996.1097925240174,-3.854260400613978,0,0,-9.816903309633531,9.816903309633531,0,0,-1.706478678151899,1.706478678151899,0.1738306494755119,0.2432503031560675,1.823518483138155,-1.318074170451638,0.7788007830714049,75,80,6500,1687445.46108813,7892.655832431538
210,2.1,0,0,6371995.715205321,0,0,-4.019576913281117,995.7152053210884,-4.019576913281117,0,0,-9.816904520367414,9.816904520367414,0,0,-1.619862832937126,1.619862832937126,0.1650074959552016,0.2311776409431629,1.888203779780419,-1.253388873809374,0.7788007830714049,75,80,6500,1686795.46108813,7813.395895147464
